,,,,,,,,,,,
,Flight Load by CARRIER,,,,2018,,,,,,
,,,,,,,,,,,
,Carrier,Airport,,Flights,,Pasengers,,Seats offered,,Load,
,,,,Arrival,Departure,Arrival,Departure,Arrival,Departure,Arrival,Departure
,,Rimini,RMI,4,4,662,651,756,756,"87,57 %","86,11 %"
,,Girona,GRO,8,8,1380,1325,1512,1512,"91,27 %","87,63 %"
,,Naples,NAP,7,8,1175,1345,1323,1512,"88,81 %","88,96 %"
,,Bolgna,BLQ,1,1,172,140,189,189,"91,01 %","74,07 %"
,,Tel Aviv,TLV,1,1,158,172,189,189,"83,60 %","91,01 %"
,,Milan,MXP,1,1,177,137,189,189,"93,65 %","72,49 %"
,,Ovda,VDA,1,1,15,178,189,189,"7,94 %","94,18 %"
,Wizz Air,Luton,LTN,27,27,4520,4718,4860,4860,"93,00 %","97,08 %"
,,Stavanger,SVG,13,13,1977,2084,2340,2340,"84,49 %","89,06 %"
,,Bergen,BGO,9,9,1386,1451,1620,1620,"85,56 %","89,57 %"
,,Olesund,AES,9,9,1763,1747,2070,2070,"85,17 %","84,40 %"
,,Eindhoven,EIN,9,9,1827,1880,2070,2070,"88,26 %","90,82 %"
,LOT,Warsaw,WAW,25,25,1193,1156,1910,1910,"62,46 %","60,52 %"
,,,,,,,,,,,
,Lapkritis,,,,,,,,,,
,RYANAIR,Luton,LTN,31,30,5487,5234,5859,5670,"93,65 %","92,31 %"
,,Copenhage,CPH,26,26,4412,4478,4914,4914,"89,78 %","91,13 %"
,,Dublin,DUB,17,17,3095,3117,3213,3213,"96,33 %","97,01 %"
,,Bristol,BRS,9,9,1591,1588,1701,1701,"93,53 %","93,36 %"
,,Stansted,STN,21,21,3660,3648,3969,3969,"92,21 %","91,91 %"
,,Shannon,SNN,5,5,901,902,945,945,"95,34 %","95,45 %"
,,Alicante,ALC,8,8,1466,1390,1512,1512,"96,96 %","91,93 %"
,,Paphos,PFO,5,5,892,791,945,945,"94,39 %","83,70 %"
,,Naples,NAP,9,9,1576,1526,1701,1701,"92,65 %","89,71 %"
